
Number of requests,Medium response time,Error percentage,Throughput
66000,609.77922ms,0,854.3012578652167
Type,Requests per second,Duration,
grpc,10000,3s,
grpc,12000,3s,
Response time,Success,Error,End time
104.212381ms,true,-,May  8 14:14:07.739810209
105.847872ms,true,-,May  8 14:14:07.739890850
102.592056ms,true,-,May  8 14:14:07.740065152
106.634987ms,true,-,May  8 14:14:07.740086615
99.96727ms,true,-,May  8 14:14:07.740097615
201.578514ms,true,-,May  8 14:14:07.740239022
108.167483ms,true,-,May  8 14:14:07.740257888
100.551819ms,true,-,May  8 14:14:07.740258621
107.183574ms,true,-,May  8 14:14:07.740385762
102.893118ms,true,-,May  8 14:14:07.740455424
100.381619ms,true,-,May  8 14:14:07.740525802
108.540783ms,true,-,May  8 14:14:07.740603088
208.323192ms,true,-,May  8 14:14:07.741433848
99.422407ms,true,-,May  8 14:14:07.741487391
106.139335ms,true,-,May  8 14:14:07.741528735
99.277846ms,true,-,May  8 14:14:07.741560431
104.369229ms,true,-,May  8 14:14:07.741633249
108.804953ms,true,-,May  8 14:14:07.741684695
107.662996ms,true,-,May  8 14:14:07.741721056
197.052587ms,true,-,May  8 14:14:07.741783011
107.265053ms,true,-,May  8 14:14:07.741802881
106.440371ms,true,-,May  8 14:14:07.741881796
101.760181ms,true,-,May  8 14:14:07.741937798
99.631528ms,true,-,May  8 14:14:07.741996899
99.692652ms,true,-,May  8 14:14:07.742005061
101.545015ms,true,-,May  8 14:14:07.742060521
104.571348ms,true,-,May  8 14:14:07.742067784
101.952596ms,true,-,May  8 14:14:07.742138170
101.770587ms,true,-,May  8 14:14:07.742151224
100.095772ms,true,-,May  8 14:14:07.742207170
192.873475ms,true,-,May  8 14:14:07.832770016
100.667875ms,true,-,May  8 14:14:07.832799293
195.163084ms,true,-,May  8 14:14:07.832799300
195.113694ms,true,-,May  8 14:14:07.832838996
100.688017ms,true,-,May  8 14:14:07.832922967
195.580916ms,true,-,May  8 14:14:07.832970050
192.644429ms,true,-,May  8 14:14:07.832990357
190.670404ms,true,-,May  8 14:14:07.832991685
195.439689ms,true,-,May  8 14:14:07.833031692
197.617426ms,true,-,May  8 14:14:07.833109163
193.018515ms,true,-,May  8 14:14:07.833170051
201.106845ms,true,-,May  8 14:14:07.833217390
99.221622ms,true,-,May  8 14:14:07.833270162
191.235814ms,true,-,May  8 14:14:07.833275530
198.779409ms,true,-,May  8 14:14:07.833280344
193.681055ms,true,-,May  8 14:14:07.834080472
101.012844ms,true,-,May  8 14:14:07.834350946
192.205ms,true,-,May  8 14:14:07.834428275
192.574022ms,true,-,May  8 14:14:07.834602239
192.940857ms,true,-,May  8 14:14:07.834789027
192.28305ms,true,-,May  8 14:14:07.834806621
192.44098ms,true,-,May  8 14:14:07.834999668
102.875505ms,true,-,May  8 14:14:07.835051729
99.911423ms,true,-,May  8 14:14:07.835234864
101.683687ms,true,-,May  8 14:14:07.835261955
195.517228ms,true,-,May  8 14:14:07.835445633
193.383528ms,true,-,May  8 14:14:07.835477406
101.715358ms,true,-,May  8 14:14:07.835653943
103.42332ms,true,-,May  8 14:14:07.835671633
103.524212ms,true,-,May  8 14:14:07.835852252
99.328389ms,true,-,May  8 14:14:07.836099339
103.834068ms,true,-,May  8 14:14:07.836100782
102.921194ms,true,-,May  8 14:14:07.836317656
196.235091ms,true,-,May  8 14:14:07.836328388
100.977619ms,true,-,May  8 14:14:07.836566234
205.413689ms,true,-,May  8 14:14:07.837424935
102.616006ms,true,-,May  8 14:14:07.837570623
103.506378ms,true,-,May  8 14:14:07.837610295
105.330358ms,true,-,May  8 14:14:07.837636237
102.239567ms,true,-,May  8 14:14:07.837796562
102.579942ms,true,-,May  8 14:14:07.837812195
195.689641ms,true,-,May  8 14:14:07.837844220
102.757408ms,true,-,May  8 14:14:07.837854341
104.385767ms,true,-,May  8 14:14:07.837870034
102.909236ms,true,-,May  8 14:14:07.837884687
97.486086ms,true,-,May  8 14:14:07.837989385
196.114476ms,true,-,May  8 14:14:07.838007439
198.049603ms,true,-,May  8 14:14:07.838025010
103.666177ms,true,-,May  8 14:14:07.838039242
100.856719ms,true,-,May  8 14:14:07.838081554
104.412366ms,true,-,May  8 14:14:07.839260538
103.757681ms,true,-,May  8 14:14:07.839380234
103.988123ms,true,-,May  8 14:14:07.839382223
99.572524ms,true,-,May  8 14:14:07.839389754
107.195684ms,true,-,May  8 14:14:07.839395110
104.233228ms,true,-,May  8 14:14:07.839550802
107.235252ms,true,-,May  8 14:14:07.839561869
99.172171ms,true,-,May  8 14:14:07.839562365
104.653937ms,true,-,May  8 14:14:07.839574246
104.55542ms,true,-,May  8 14:14:07.839611327
104.16636ms,true,-,May  8 14:14:07.839638633
199.400987ms,true,-,May  8 14:14:07.839651732
103.183442ms,true,-,May  8 14:14:07.839682498
99.161756ms,true,-,May  8 14:14:07.839692378
103.019757ms,true,-,May  8 14:14:07.839775448
197.304207ms,true,-,May  8 14:14:07.839802802
99.200943ms,true,-,May  8 14:14:07.839808336
100.234473ms,true,-,May  8 14:14:07.840694479
100.94795ms,true,-,May  8 14:14:07.840711092
198.798201ms,true,-,May  8 14:14:07.840755294
