
Number of requests,Medium response time,Error percentage,Throughput
66000,796.042385ms,0,672.6082574304675
Type,Requests per second,Duration,
rest,10000,3s,
rest,12000,3s,
Response time,Success,Error,End time
110.229428ms,true,-,May  8 14:26:12.042985467
106.308806ms,true,-,May  8 14:26:12.043202287
91.550029ms,true,-,May  8 14:26:12.043203364
98.437935ms,true,-,May  8 14:26:12.043402979
94.421805ms,true,-,May  8 14:26:12.046150334
109.659969ms,true,-,May  8 14:26:12.046361913
102.83062ms,true,-,May  8 14:26:12.046711688
109.153402ms,true,-,May  8 14:26:12.046851551
95.424181ms,true,-,May  8 14:26:12.047041982
103.462688ms,true,-,May  8 14:26:12.047247884
96.139994ms,true,-,May  8 14:26:12.047790645
96.536037ms,true,-,May  8 14:26:12.047977114
14.583273ms,true,-,May  8 14:26:12.057999128
103.655403ms,true,-,May  8 14:26:12.058013437
112.996814ms,true,-,May  8 14:26:12.058033596
101.594289ms,true,-,May  8 14:26:12.058104820
109.218726ms,true,-,May  8 14:26:12.058154144
103.644684ms,true,-,May  8 14:26:12.058161315
120.413374ms,true,-,May  8 14:26:12.058219874
109.622583ms,true,-,May  8 14:26:12.058221941
109.46898ms,true,-,May  8 14:26:12.058320005
104.611173ms,true,-,May  8 14:26:12.058418274
104.150343ms,true,-,May  8 14:26:12.058456963
104.596862ms,true,-,May  8 14:26:12.059100084
109.768162ms,true,-,May  8 14:26:12.059198750
16.030027ms,true,-,May  8 14:26:12.059239749
17.596909ms,true,-,May  8 14:26:12.059250009
16.519735ms,true,-,May  8 14:26:12.059377558
12.345205ms,true,-,May  8 14:26:12.059393083
115.484193ms,true,-,May  8 14:26:12.059625537
106.435098ms,true,-,May  8 14:26:12.060696468
18.936308ms,true,-,May  8 14:26:12.061026754
18.842524ms,true,-,May  8 14:26:12.061034127
14.323138ms,true,-,May  8 14:26:12.061181860
19.562259ms,true,-,May  8 14:26:12.061828345
107.791563ms,true,-,May  8 14:26:12.061891281
20.118461ms,true,-,May  8 14:26:12.062264890
15.709147ms,true,-,May  8 14:26:12.062426435
108.193126ms,true,-,May  8 14:26:12.062475568
20.392137ms,true,-,May  8 14:26:12.062537875
119.045962ms,true,-,May  8 14:26:12.062602483
19.641396ms,true,-,May  8 14:26:12.062633420
310.104307ms,true,-,May  8 14:26:12.063172877
20.148194ms,true,-,May  8 14:26:12.063357588
109.157756ms,true,-,May  8 14:26:12.063386565
17.257556ms,true,-,May  8 14:26:12.063416356
21.55375ms,true,-,May  8 14:26:12.063543622
115.432435ms,true,-,May  8 14:26:12.063746184
17.645099ms,true,-,May  8 14:26:12.064015197
112.422397ms,true,-,May  8 14:26:12.064417785
110.237685ms,true,-,May  8 14:26:12.064417653
110.278699ms,true,-,May  8 14:26:12.064534762
23.217377ms,true,-,May  8 14:26:12.065207971
182.36504ms,true,-,May  8 14:26:12.132146733
85.896025ms,true,-,May  8 14:26:12.133148808
179.544648ms,true,-,May  8 14:26:12.133362199
181.572709ms,true,-,May  8 14:26:12.133123262
182.846499ms,true,-,May  8 14:26:12.134794931
182.955389ms,true,-,May  8 14:26:12.134805579
185.417828ms,true,-,May  8 14:26:12.134815220
190.506253ms,true,-,May  8 14:26:12.134830173
72.567337ms,true,-,May  8 14:26:12.134840199
78.038148ms,true,-,May  8 14:26:12.136499113
185.872872ms,true,-,May  8 14:26:12.136702459
79.143707ms,true,-,May  8 14:26:12.137252780
188.029592ms,true,-,May  8 14:26:12.137368661
186.983147ms,true,-,May  8 14:26:12.137428867
183.543437ms,true,-,May  8 14:26:12.137435296
186.739802ms,true,-,May  8 14:26:12.137440001
79.281744ms,true,-,May  8 14:26:12.137442868
79.273347ms,true,-,May  8 14:26:12.137443920
78.105707ms,true,-,May  8 14:26:12.137736679
89.802854ms,true,-,May  8 14:26:12.137789167
187.421648ms,true,-,May  8 14:26:12.137798156
79.785452ms,true,-,May  8 14:26:12.137825907
188.516932ms,true,-,May  8 14:26:12.138056295
189.436908ms,true,-,May  8 14:26:12.139096768
80.669073ms,true,-,May  8 14:26:12.139102745
93.534939ms,true,-,May  8 14:26:12.141334053
81.276889ms,true,-,May  8 14:26:12.144460813
86.277359ms,true,-,May  8 14:26:12.144604790
194.042992ms,true,-,May  8 14:26:12.144694034
87.180293ms,true,-,May  8 14:26:12.145200297
194.213098ms,true,-,May  8 14:26:12.145504884
84.898427ms,true,-,May  8 14:26:12.145916963
80.948824ms,true,-,May  8 14:26:12.146211827
9.433025ms,true,-,May  8 14:26:12.146887080
87.489692ms,true,-,May  8 14:26:12.146890176
190.199061ms,true,-,May  8 14:26:12.146981242
82.805614ms,true,-,May  8 14:26:12.147238913
85.491088ms,true,-,May  8 14:26:12.147325677
191.040665ms,true,-,May  8 14:26:12.148034123
85.647764ms,true,-,May  8 14:26:12.149020947
11.07862ms,true,-,May  8 14:26:12.149140362
85.389467ms,true,-,May  8 14:26:12.149142189
288.566472ms,true,-,May  8 14:26:12.232523050
175.879158ms,true,-,May  8 14:26:12.233885084
201.61479ms,true,-,May  8 14:26:12.234620785
193.360163ms,true,-,May  8 14:26:12.234723369
97.278698ms,true,-,May  8 14:26:12.234816484
97.364877ms,true,-,May  8 14:26:12.235197097
